,OPIS Truckstop ID,Address,Truckstop Name,City,State,Rack ID,Retail Price,lat_truck,lon_truck,lat_city,lon_city
840,6393,"I-64, EXIT 92",PILOT TRAVEL CENTER #478,Leavenworth                             ,IN,415,3.959,47.5962326,-120.6614765,38.1997869,-86.3441439
841,6401,"I-10, EXIT 34-B",CIRCLE K #2723457,Gulfport,MS,715,2.989,30.3674198,-89.0928155,30.3674198,-89.0928155
842,6434,US-20,AMPRIDE ALL ROUND TRUCK STOP,Fort Dodge,IA,343,3.299,42.5007233,-94.14789760000001,42.4974694,-94.16801579999999
843,6441,"I-75, EXIT 41 & SR-80",GRAND OIL,London                                  ,KY,410,3.499,37.1289771,-84.08326459999999,37.1289771,-84.08326459999999
844,6442,US-84,CLARK OIL #49,Laurel,MS,620,2.999,31.7307968,-89.1382007,31.6940509,-89.1306124
845,6448,"I-59, EXIT 97 & US-84",CIRCLE K #2723392,Laurel,MS,620,2.95233333,31.69828,-89.116057,31.6940509,-89.1306124
846,6462,US-281 & SR-5,ARCO #471770,Dunseith,ND,452,3.499,48.8069324,-100.062,48.8130569,-100.0609678
847,6468,"I-40 & CEMETARY RD, EXIT 26",TA SAYRE TRAVEL CENTER,Sayre,OK,483,3.064,35.3348909,-99.59448359999999,35.291162,-99.64009689999999
848,6480,"I-84, EXIT 265",FLYING J #934,La Grande,OR,982,3.53566666,45.2973113,-118.0439051,45.3245771,-118.0877188
849,6492,US-49,FLICKS,Richland,MS,760,2.999,32.2392201,-90.1653535,32.2392201,-90.1653535
850,6496,"I-35, EXIT 305",SPEEDY EXPRESS #38,Mathis,TX,625,3.199,28.1113662,-97.8189021,28.0944558,-97.82805429999999
851,6502,"I-29, EXIT 79 & US-159",SQUAW CREEK TRAVEL PLAZA,Forest City,MO,400,3.339,40.05636919263166,-95.25799778809336,39.9824969,-95.19192040000001
852,6517,"I-80, EXIT 4   4",HARDYS #5,Wendover,UT,835,3.499,40.73780290000001,-114.0358157,40.7371524,-114.0375102
853,6518,"I-15, EXIT 164",TOWN PUMP FOOD STORE #310,Boulder,MT,816,3.559,46.2441135,-112.1174017,46.2365947,-112.1208336
854,6526,"I-196 & SR-40, EXIT 49",TULIP CITY TRUCK STOP,Holland,MI,344,3.739,42.7377167,-86.0662224,42.7875235,-86.1089301
855,6527,"I-90, EXIT 426",ZIP TRIP #50,Park City,MT,780,3.584,45.6342664,-108.9159679,45.6297222,-108.9162361
856,6547,"I-90, EXIT 126 & SR-59",FLYING J TRAVEL PLAZA #762,Gillette,WY,836,3.899,44.2782117,-105.4936021,44.2931097,-105.494199
857,6562,"I-29, EXIT 35                 ",PILOT #1323,Faucett                                 ,MO,400,3.27233333,39.6005312,-94.7911989,39.5997974,-94.7988868
858,6563,"I-35, EXIT 500",Road Ranger #282,Gainesville,TX,630,3.17566666,33.6698776,-97.15232689999999,33.62594139999999,-97.1333453
859,6564,US-395,FLYING J FRANCHISE #970,Pasco                                   ,WA,925,4.599,46.2305049,-119.0922316,46.2305049,-119.0922316
860,6565,"I-81,  EXIT 36",TA Greeneville Travel Center,Greeneville,TN,405,3.55233333,36.1631574,-82.83098609999999,36.1631574,-82.83098609999999
861,6567,"I-90, EXIT 330",YELLOWSTONE TRUCK SHOP,Livingston,MT,786,3.649,45.6614105,-110.5599556,45.6614105,-110.5599556
862,6577,"I-81, EXIT 5 W",AC & T TRAVEL CENTER,Hagerstown,MD,70,3.659,39.63124579999999,-77.7842809,39.6417629,-77.71999319999999
863,6578,"I-15 & US-2, EXIT 363",PILOT TRAVEL CENTER #909- TOWN PUMP,Shelby                                  ,MT,815,3.63566666,48.5130404,-111.8727389,48.5066603,-111.8561447
864,6588,"I-90, EXIT 249",TOWN PUMP FOOD STORE #4300,Whitehall,MT,786,3.659,45.8758967,-112.1008292,45.8693709,-112.0986053
865,6593,"I-40, EXIT 198",LITTLE AMERICA TRAVEL CENTER,Flagstaff,AZ,930,3.539,35.189024,-111.621861,35.1982836,-111.651302
866,6607,"I-97, EXIT 10",TRANSIT TRUCK STOP,Millersville,MD,22,3.46566666,39.10224880000001,-76.6279476,39.0574783,-76.64858219999999
867,6608,SR-16,7-ELEVEN #35560,Charlotte,NC,46,3.999,35.2270869,-80.8431267,35.2270869,-80.8431267
868,6628,"I-85, EXIT 150",FLYING J TRAVEL PLAZA #682,Haw River,NC,65,3.94233333,36.071597,-79.35295909999999,36.0949545,-79.3567274
869,6632,"I-95/SR-405,  EXIT 87 & US-17/SR-25",TA SAVANNAH TRAVEL CENTER,Richmond Hill,GA,195,3.35066666,31.927862,-81.3312,31.9382652,-81.3034433
870,6633,"I-84, EXIT 304",BAKER TRUCK CORRAL,Baker City,OR,982,3.42566666,44.78125010000001,-117.8129822,44.7748748,-117.8343848
871,6640,"I-25, EXIT 254",PETRO STOPPING CENTER JOHNSTOWN,Johnstown                               ,CO,800,3.42733333,40.3369272,-104.9121967,40.3369272,-104.9121967
